"id","img","title","description","url"
1,"https://m.media-amazon.com/images/I/51xHT9ZnmNL._SY344_BO1,204,203,200_.jpg","リーダブルコード ―より良いコードを書くためのシンプルで実践的なテクニック","「美しいコードを見ると感動する。優れたコードは見た瞬間に何をしているかが伝わってくる。そういうコードは使うのが楽しいし、自分のコードもそうあるべきだと思わせてくれる。本書の目的は、君のコードを良くすることだ」(本書「はじめに」より)。","https://amzn.to/3LcFsmf"
2,"https://m.media-amazon.com/images/I/41CRtHTRSCL._SX350_BO1,204,203,200_.jpg","良いコード/悪いコードで学ぶ設計入門 ―保守しやすい 成長し続けるコードの書き方","良いコードが書けるようになる、ソフトウェア設計の入門書「ITエンジニア本大賞2023」技術書部門で大賞受賞！本書は、より成長させやすいコードの書き方と設計を学ぶ入門書です。","https://amzn.to/3mDt841"
3,"https://m.media-amazon.com/images/I/51sApXJW7HL.jpg","Web API: The Good Parts","DB設計の基礎と実践ノウハウが身につく一冊 本書は、好評を博した『達人に学ぶ SQL徹底指南書』の続編という位置づけで、プロのデータベース（DB）エンジニアである著者が、DB設計の基礎と実践ノウハウをやさしく手ほどきする指南書です。","https://amzn.to/3l7D6ue"
4,"https://m.media-amazon.com/images/I/51GHwTNJgSL._SX389_BO1,204,203,200_.jpg","Web API: The Good Parts","Web APIの設計、開発、運用についての解説書。APIは設計次第で使いづらいものになるだけではなく、公開後の保守運用も難しくなってしまいます。そのためAPIを美しく設計することがとても重要です。","https://amzn.to/3ysKVxA"
5,"https://m.media-amazon.com/images/I/510GhCOD1FL._SX393_BO1,204,203,200_.jpg","プロを目指す人のためのTypeScript入門 安全なコードの書き方から高度な型の使い方まで (Software Design plus)","TypeScriptらしいコードの書き方を学べます。TypeScriptは、JavaScriptに静的型付けの機能を加えたオープンソースのプログラミング言語です。本書では、根幹となるJavaScriptの仕様・機能とともに、TypeScript独自の仕様・機能を解説します。TypeScriptの基礎知識はこれ一冊だけで学べます。","https://amzn.to/3YDdTpi"
6,"https://m.media-amazon.com/images/I/513J77QZHgL._SX350_BO1,204,203,200_.jpg","ゼロから作るDeep Learning ―Pythonで学ぶディープラーニングの理論と実装","ディープラーニングの本格的な入門書。外部のライブラリに頼らずに、Python 3によってゼロからディープラーニングを作ることで、ディープラーニングの原理を楽しく学びます。ディープラーニングやニューラルネットワークの基礎だけでなく、誤差逆伝播法や畳み込みニューラルネットワークなども実装レベルで理解できます。","https://amzn.to/3T6uJeQ"
7,"https://m.media-amazon.com/images/I/61YVe2oD4CL._SX397_BO1,204,203,200_.jpg","「プロになるためのWeb技術入門」 ――なぜ、あなたはWebシステムを開発できないのか","『なぜ、あなたはJavaでオブジェクト指向開発できないのか』の著者である小森祐介氏の新刊です。Webアプリケーションの開発方法を、インターネットの仕組みの根本原理から、じっくり解説します。Webアプリケーションとは何か?――という根本的な問いかけから始まり、基礎の基礎をかためつつ、本物の実力を養成することを目標に内容を構成しています。これにより一貫した流れでWebアプリケーション開発の真髄を学ぶことができます。図解をたくさん用意しましたので、これで直感的に楽しく理解も進むようになっています。","https://amzn.to/3Jw3JSP"
8,"https://m.media-amazon.com/images/I/51dqjMRTh3L._SX258_BO1,204,203,200_.jpg","新しいLinuxの教科書","MS-DOSを知らない世代のエンジニアに向けたLinux入門書の決定版。Linux自身の機能だけでなく、シェルスクリプトを使ったプログラミングや、Gitによるソフトウェア開発のバージョン管理など、イマドキのエンジニアなら知っておくべき知識についても、丁寧に解説しました!!","https://amzn.to/3JuAr7k"
9,"https://m.media-amazon.com/images/I/51F-XAQ7V6L.jpg","現場で役立つシステム設計の原則 〜変更を楽で安全にするオブジェクト指向の実践技法","「ソースがごちゃごちゃしていて，どこに何が書いてあるのか理解するまでがたいへん」「1つの修正のために，あっちもこっちも書きなおす必要がある」「ちょっとした変更のはずが，本来はありえない場所にまで影響して，大幅なやり直しになってしまった」といったトラブルが起こるのは，ソフトウェアの設計に問題があるから。日本最大級となる60万件以上の求人情報サイト「イーキャリアJobSearch」の主任設計者であり，システム設計のベテランである著者が，コードの具体例を示しながら，良い設計のやり方と考え方を解説します。","https://amzn.to/3Ff31XE"
10,"https://m.media-amazon.com/images/I/51bTdfRgZOL.jpg","プリンシプル オブ プログラミング 3年目までに身につけたい 一生役立つ101の原理原則","一通りプログラミングができるようになった。しかし、読みにくい、遅い、頻繁にエラーが発生する、書いたコードを修正すると動かなくなる等々、なかなか「よいコード」を書けないとお悩みではありませんか？ 本書は、よいコードを書く上で指針となる前提・原則・思想、つまり「プリンシプル」を解説するプログラミングスキル改善書です。初心者向けの書籍では絶対に説明しない、古今東西のプログラマーの知恵をこの一冊に凝縮しました！","https://amzn.to/3YExEg7"
